structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Folium-tuber vermis (VII),0.0,0.0,0.0,0.144777,0.14906,0.293837,0.0,0.0
"Frontal pole, layer 1",0.0,5.0,5.0,0.029588,0.0421039999999999,0.0716919999999999,0.0,118.75356260687849
"Frontal pole, layer 2/3",0.0,0.0,0.0,0.02659,0.035239,0.0618289999999999,0.0,0.0
"Frontal pole, layer 5",0.0,0.0,0.0,0.044222,0.0533309999999999,0.097553,0.0,0.0
"Frontal pole, layer 6a",25.0,8.0,33.0,0.018338,0.0179819999999999,0.03632,1363.289344530483,444.88933377822514
"Frontal pole, layer 6b",0.0,0.0,0.0,0.000205,0.000173,0.0003779999999999,0.0,0.0
Fundus of striatum,19.0,0.0,19.0,0.089307,0.085464,0.174771,212.74928057151175,0.0
Gigantocellular reticular nucleus,1301.0,2192.0,3493.0,0.652368,0.721827,1.3741949999999998,1994.2731709709858,3036.7387199425903
"Globus pallidus, external segment",2.0,0.0,2.0,0.314278,0.31747,0.631748,6.3637925658175245,0.0
"Globus pallidus, internal segment",4.0,0.0,4.0,0.06451,0.0616149999999999,0.126125,62.005890559603166,0.0
Gracile nucleus,227.0,419.0,646.0,0.019542,0.019206,0.038748,11616.006549994883,21816.099135686763
"Gustatory areas, layer 1",0.0,0.0,0.0,0.048844,0.0501239999999999,0.098968,0.0,0.0
"Gustatory areas, layer 2/3",0.0,0.0,0.0,0.094529,0.097401,0.19193,0.0,0.0
"Gustatory areas, layer 4",0.0,2.0,2.0,0.03379,0.034719,0.068509,0.0,57.60534577608802
"Gustatory areas, layer 5",62.0,104.0,166.0,0.123261,0.126195,0.249456,502.997704058867,824.1213994215302
"Gustatory areas, layer 6a",0.0,0.0,0.0,0.1005689999999999,0.100037,0.200606,0.0,0.0
"Gustatory areas, layer 6b",0.0,0.0,0.0,0.009208,0.0087409999999999,0.017949,0.0,0.0
Hippocampal formation,0.0,0.0,0.0,0.0649339999999999,0.062033,0.126967,0.0,0.0
Hippocampo-amygdalar transition area,2.0,0.0,2.0,0.094276,0.0615709999999999,0.1558469999999999,21.21430692859264,0.0
Hypoglossal nucleus,11.0,79.0,90.0,0.083004,0.084932,0.1679359999999999,132.52373379596165,930.1558894174163
Hypothalamus,241.0,322.0,563.0,0.6270899999999999,0.613826,1.240916,384.31485113779524,524.5786265163092
Induseum griseum,0.0,0.0,0.0,0.0286739999999999,0.02826,0.056934,0.0,0.0
"Inferior colliculus, central nucleus",0.0,0.0,0.0,0.211728,0.1904529999999999,0.402181,0.0,0.0
"Inferior colliculus, dorsal nucleus",0.0,0.0,0.0,0.303824,0.28334,0.587164,0.0,0.0
"Inferior colliculus, external nucleus",2.0,3.0,5.0,0.399036,0.345336,0.744372,5.012079110656683,8.687191604698034
Inferior olivary complex,0.0,0.0,0.0,0.060619,0.063606,0.124225,0.0,0.0
Inferior salivatory nucleus,0.0,0.0,0.0,0.0015379999999999,0.001488,0.003026,0.0,0.0
