structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Laterointermediate area, layer 6b",0.0,0.0,0.0,0.000978,0.0009729999999999,0.0019509999999999,0.0,0.0
Linear nucleus of the medulla,0.0,0.0,0.0,0.0062239999999999,0.0069619999999999,0.013186,0.0,0.0
Lingula (I),0.0,0.0,0.0,0.0110169999999999,0.011585,0.0226019999999999,0.0,0.0
Lobule II,0.0,0.0,0.0,0.1155149999999999,0.121681,0.237196,0.0,0.0
Lobule III,0.0,0.0,0.0,0.198454,0.213325,0.411779,0.0,0.0
Lobules IV-V,0.0,0.0,0.0,0.476713,0.504633,0.981346,0.0,0.0
Locus ceruleus,0.0,0.0,0.0,0.0012289999999999,0.0012209999999999,0.00245,0.0,0.0
Magnocellular nucleus,1.0,0.0,1.0,0.0232169999999999,0.0261029999999999,0.0493199999999999,43.07188697936875,0.0
Magnocellular reticular nucleus,3.0,18.0,21.0,0.052576,0.0553829999999999,0.107959,57.060255629945225,325.009479443151
Main olfactory bulb,65.0,0.0,65.0,1.221978,1.159792,2.38177,53.19244699986415,0.0
Medial accesory oculomotor nucleus,0.0,0.0,0.0,0.0013909999999999,0.001447,0.002838,0.0,0.0
Medial amygdalar nucleus,0.0,0.0,0.0,0.119406,0.148593,0.267999,0.0,0.0
"Medial geniculate complex, dorsal part",0.0,0.0,0.0,0.013137,0.0129509999999999,0.026088,0.0,0.0
"Medial geniculate complex, medial part",0.0,0.0,0.0,0.021445,0.020225,0.04167,0.0,0.0
"Medial geniculate complex, ventral part",0.0,0.0,0.0,0.022579,0.0213089999999999,0.0438879999999999,0.0,0.0
Medial habenula,0.0,0.0,0.0,0.023764,0.022912,0.0466759999999999,0.0,0.0
"Medial mammillary nucleus, dorsal part",0.0,0.0,0.0,0.006441,0.0068049999999999,0.0132459999999999,0.0,0.0
"Medial mammillary nucleus, lateral part",0.0,0.0,0.0,0.0182109999999999,0.017709,0.0359199999999999,0.0,0.0
"Medial mammillary nucleus, medial part",0.0,0.0,0.0,0.012202,0.011913,0.0241149999999999,0.0,0.0
"Medial mammillary nucleus, median part",0.0,0.0,0.0,0.006528,0.007362,0.01389,0.0,0.0
"Medial mammillary nucleus, posterior part",0.0,0.0,0.0,0.003114,0.0034349999999999,0.0065489999999999,0.0,0.0
Medial preoptic area,0.0,0.0,0.0,0.03852,0.041079,0.079599,0.0,0.0
Medial preoptic nucleus,0.0,0.0,0.0,0.029122,0.03023,0.059352,0.0,0.0
Medial pretectal area,0.0,0.0,0.0,0.003395,0.003247,0.006642,0.0,0.0
Medial septal nucleus,0.0,0.0,0.0,0.026164,0.03006,0.0562239999999999,0.0,0.0
Medial terminal nucleus of the accessory optic tract,0.0,0.0,0.0,0.0032619999999999,0.003512,0.006774,0.0,0.0
Medial vestibular nucleus,0.0,0.0,0.0,0.170367,0.1649459999999999,0.3353129999999999,0.0,0.0
Median eminence,0.0,0.0,0.0,0.007251,0.007948,0.015199,0.0,0.0
