label,y,x,area,mean_intensity,max_intensity,median_intensity,fold_change,is_positive,background_value
506,2021.4241245136186,1706.3385214007783,514.0,50.01167297363281,165.0,46.0,1.2296951898392237,False,40.669975
508,2020.5657395701644,2437.83786346397,3164.0,35.86567687988281,160.0,33.0,0.8818711256224564,False,40.669975
509,2026.1757719714965,1565.3239904988125,2105.0,66.885986328125,4083.0,40.0,1.644603564825975,False,40.669975
510,2036.171568627451,1506.2254901960785,204.0,33.45588302612305,121.0,28.5,0.8226187204482718,False,40.669975
511,2036.8955223880596,1699.8208955223881,67.0,50.0,105.0,47.0,1.2294081728555095,False,40.669975
513,2039.1931677018633,2439.311801242236,1610.0,36.96086883544922,154.0,34.0,0.9087998844428353,False,40.669975
514,2042.9811320754718,1662.4150943396226,53.0,48.45283126831055,158.0,40.0,1.1913661351849993,False,40.669975
515,2044.48,2046.44,75.0,44.2400016784668,119.0,40.0,1.0877803926129708,False,40.669975
517,2045.2424242424242,1988.7171717171718,99.0,35.3636360168457,87.0,32.0,0.8695268628199513,False,40.669975
518,2046.1694915254238,1181.8305084745762,59.0,46.813560485839844,136.0,38.0,1.1510594772351448,False,40.669975
519,2048.7391304347825,1199.9565217391305,69.0,40.144927978515625,117.0,39.0,0.9870900511096583,False,40.669975
521,2050.7867867867867,2440.554804804805,1332.0,37.05780792236328,132.0,34.0,0.9111834385572612,False,40.669975
522,2053.637931034483,717.2241379310345,58.0,48.5,124.0,49.0,1.192525927669844,False,40.669975
523,2052.782608695652,1157.5,138.0,43.59420394897461,132.0,43.0,1.0719014124799862,False,40.669975
524,2059.500313087038,1564.8403256105198,1597.0,85.3187255859375,2430.0,43.0,2.0978307706593604,True,40.669975
525,2049.170731707317,784.1260162601626,246.0,46.19105529785156,141.0,43.5,1.1357532179199898,False,40.669975
526,2054.3333333333335,1170.2575757575758,66.0,38.98484802246094,116.0,36.5,0.9585658155268685,False,40.669975
527,2057.991666666667,1995.725,120.0,35.90833282470703,119.0,32.5,0.8829199569662117,False,40.669975
529,2061.494845360825,1202.319587628866,97.0,45.402061462402344,118.0,43.0,1.116353308527312,False,40.669975
530,2062.2027027027025,774.7162162162163,74.0,48.5945930480957,167.0,42.5,1.1948517969983277,False,40.669975
531,2063.8867924528304,1631.867924528302,53.0,44.660377502441406,138.0,38.0,1.098116662086276,False,40.669975
532,2064.590361445783,885.6867469879518,83.0,38.83132553100586,144.0,34.0,0.9547909794126281,False,40.669975
